utc,product_name,store_section,category,subcategory,labels,nutriscore,nova_group,allergens,diet_tags,image_url,price,x,y
39153010024,Extra virgin olive oil,Vegetable Oils,Vegetable Oils,Olive Oils,,b,2.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/915/301/0024/front_en.4.400.jpg,6.49,10,28
39153010031,Extra Virgin Olive Oil,Vegetable Oils,Vegetable Oils,Olive Oils,,unknown,2.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/915/301/0031/front_en.11.400.jpg,6.49,10,28
39153010079,Olive oil extra virgin,Vegetable Oils,Vegetable Oils,Olive Oils,,unknown,2.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/915/301/0079/front_en.7.400.jpg,6.49,10,28
39153100145,"Pepperolio, extra virgin olive oil with essence of pepper",Vegetable Oils,Vegetable Oils,Olive Oils,,b,2.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/915/310/0145/front_en.6.400.jpg,6.49,10,28
39153101425,"Beef stock in a box, beef",Canned Food,Canned Foods,Canned Meals,,b,4.0,,"en:palm-oil-free,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/915/310/1425/front_en.3.400.jpg,1.79,7,25
39153500402,Premium 100% Pure Canola Oil,Vegetable Oils,Vegetable Oils,Rapeseed Oils,,b,2.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/915/350/0402/front_en.4.400.jpg,6.49,10,28
39153500655,Extra virgin olive oil,Vegetable Oils,Vegetable Oils,Olive Oils,,b,2.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/915/350/0655/front_en.4.400.jpg,6.49,10,28
39156000541,Cravin cajun hot sauce,Dips,Dips,Hot Sauces,,a,4.0,,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/915/600/0541/front_en.13.400.jpg,3.99,10,13
39156001579,"Crawfish, Shrimp and Crab Boil",Seafood,Seafood,Seafood,,e,4.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/915/600/1579/front_en.4.400.jpg,9.99,1,34
39156006802,Louisiana fish fry p air fry fish coating mix,Baking Mixes,Baking Mixes,Cooking Helpers,,e,4.0,en:gluten,"en:palm-oil,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/915/600/6802/front_en.9.400.jpg,3.99,4,28
39156009025,Homestyle Chicken Fry Chicken Batter Mix,Baking Mixes,Baking Mixes,Cooking Helpers,,e,3.0,en:gluten,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/915/600/9025/front_en.4.400.jpg,3.99,4,28
