utc,product_name,department,price,quantity,ingredients,allergens,categories,labels,nutriscore,nova_group,diet_tags
044000045579,Teddy Grahams cookies chocolate 1x10 oz,Snacks,3.68,8,"graham flour (whole grain wheat flour), enriched unbleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), sugar, soybean and/or canola oil, cocoa, cocoa (processed with alkali), dextrose, calcium carbonate (source of calcium), maltodextrin, baking soda, salt, natural flavor (contains barley), soy lecithin, chocolate, artificial flavor,","en:gluten,en:soybeans","Botanas,Snacks dulces,Galletas y pasteles,Galletas,Galletas de chocolate",en:Verified,unknown,4,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
078742099439,Dried Cherries,Snacks,3.28,10,"Dried cherries, sugar, sunflower oil* (processing aid).",,Snacks,,d,3,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
038616900018,HARD SALAMI,Deli,7.46,10,"PORK, BEEF, SALT, DEXTROSE, CONTAINS 2% OR LESS OF FLAVORINGS, LACTIC ACID STARTER CULTURE, NATURAL SMOKE FLAVOR, SODIUM NITRITE, SPICE, VITAMIN C (SODIUM ASCORBATE), BHA, BHT, CITRIC ACID.",,undefined,,d,4,"['en:palm-oil-free', 'en:non-vegan', 'en:non-vegetarian']"
041116048074,ring pop,Candy,5.28,6,"all flavors contain: sugar, corn syrup, lactic acid, sodium lactate. additionally: blue raspberry: artificial flavor, blue 1. strawberry: natural & artificial flavors, red 3, blue 1. purpleberry punch: natural & artificial flavors, red 3, blue 1, yellow 6. contains a bioengineered food ingredient tm/®& © the topps company, inc. all rights reserved.",,,,unknown,4,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
681131097871,Pepperoni Pizza,Deli,7.5,10,,,"Meals, Pizzas pies and quiches, Pizzas, Pepperoni pizzas",,d,,
052000043389,"Orange zero sugar thirst quencher, orange",Beverages,6.98,7,"Water, citric acid, sodium citrate, salt, monopotassium phosphate, gum arabic, natural flavor, sucralose, acesulfame potassium, sucrose acetate isobutyrate, glycerol ester of rosin, yellow 6.",,"Beverages, Sweetened beverages",,c,4,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
078742127422,Sliced Pepper Jack,Dairy & Eggs,2.22,8,"Pasteurized milk, jalapeno peppers, cheese culture, salt, enzymes.",en:milk,"Dairies, Fermented foods, Fermented milk products, Cheeses, Pasteurized cheeses",en:no-gluten,d,3,"['en:palm-oil-free', 'en:non-vegan', 'en:maybe-vegetarian']"
031506337130,Sliced Pepperoni,Deli,3.97,5,"PORK, SALT, CONTAINS 2% OR LESS OF BEEF, DEXTROSE, GARLIC POWDER, LACTIC ACID STARTER CULTURE, PAPRIKA, SPICES, SODIUM NITRITE, BHA, BHT, CITRIC ACID.",,undefined,en:no-gluten,e,4,"['en:palm-oil-free', 'en:non-vegan', 'en:non-vegetarian']"
034000993895,Hersheys nut lovers chocolate candy snack size assortment,Candy,11.98,10,,,en:chocolate-candies,,e,,
078742148694,Extra Sharp Cheddar,Dairy & Eggs,2.22,5,"Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto color), potato starch and powdered cellulose added to prevent caking, natamycin (a natural mold inhibitor).",,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Cheeses from the United Kingdom, Cheeses from England, Cheddar cheese, Grated cheese",en:no-gluten,d,3,"['en:palm-oil-content-unknown', 'en:non-vegan', 'en:vegetarian-status-unknown']"
070351182007,Flour seasoned gluten free,Baking,3.3,8,"Brown rice flour, salt, natural spices, extracts, and herbs.",,,,unknown,,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
054500193274,Bun Size Franks,Deli,3.62,9,"mechanically separated chicken, pork, water, corn syrup, potassium lactate, contains 2% or less: salt, sodium phosphate, natural flavor, beef stock, sodium diacetate, sodium erythorbate, maltodextrin, paprika extract, sodium nitrite,",,"Meats and their products, Meats, Prepared meats, Sausages",,e,4,"['en:palm-oil-free', 'en:non-vegan', 'en:non-vegetarian']"
078742014678,Pineapple,Beverages,3.78,7,"Pineapple juice from concentrate (water, pineapple juice concentrate), ascorbic acid (vitamin c).",,"Plant-based foods and beverages, Beverages, Plant-based beverages",,e,1,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
840093500298,Spicy queso,Deli,3.78,8,,,,No gluten,unknown,,
016000264700,Crunchy Peanut Butter Granola Bars,Snacks,3.38,10,"Whole Grain Oats, Sugar, Canola and/or Sunflower Oil, Peanut Butter (peanuts, salt), Rice Flour, Brown Sugar Syrup, Salt, Baking Soda, Soy Lecithin","en:peanuts,en:soybeans",Nuts cereal bars,en:orthodox-union-kosher,d,4,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']"
070153290450,Sharp Cheddar Pub Cheese,Deli,4.27,10,"Cultured pasteurized milk and cream, cheddar cheese (cultured pasteurized milk, salt, microbial enzyme), skim milk, natural cheese flavor, salt, locust bean and guar gums (stabilizers), sorbic acid (to protect flavor), apocarotenal color.",en:milk,"Dairies, Fermented foods, Fermented milk products, Spreads, Cheeses, Salted spreads, Cheese spreads",,d,4,"['en:palm-oil-free', 'en:non-vegan', 'en:vegetarian-status-unknown']"
044700064375,Turkey,Deli,3.74,10,,,,,unknown,,
043000022221,On the go peach mango green tea drink mix,Beverages,2.58,9,"Citric acid, maltodextrin, aspartame*, green tea extract, contains less than 2% of natural flavor, ascorbic acid (vitamin c), calcium carbonate, sodium and potassium bicarbonate, magnesium oxide, yellow 5, red 40, blue 1.",,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas",,e,4,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
